Topic,Words,Frequency,Timestamp
-1,"cette, comme, aussi, tout, fait",315,2024-04-15 21:50:24
0,"ps, mr, gouvernement, partis, ps ecolo",55,2024-04-15 21:50:24
1,"festival, avril, rue, artistes, art",40,2024-04-15 21:50:24
2,"barça, match, manhay, harre manhay, euro",7,2024-04-15 21:50:24
3,"tour, liège, pogacar, étape, course",38,2024-04-15 21:50:24
4,"ukraine, russe, russie, russes, défense",32,2024-04-15 21:50:24
5,"album, groupe, rock, musique, chanteur",36,2024-04-15 21:50:24
6,"film, cinéma, comme, roman, fait",35,2024-04-15 21:50:24
7,"gaza, israël, hamas, palestiniens, guerre",18,2024-04-15 21:50:24
8,"jeu, jeux, vidéo, fallout, joueurs",27,2024-04-15 21:50:24
9,"jeux, olympique, olympiques, jeux olympiques, athlètes",24,2024-04-15 21:50:24
10,"garros, terre battue, battue, tournoi, terre",7,2024-04-15 21:50:24
11,"police, enquête, deux, victimes, terroriste",20,2024-04-15 21:50:24
12,"course sprint, course, sprint, f1, ferrari",19,2024-04-15 21:50:24
13,"batteries, déficit, euros, piles batteries, milliards",8,2024-04-15 21:50:24
14,"travaux, chantier, léonard, train, circulation",20,2024-04-15 21:50:24
15,"températures, météo, nuages, ciel, après midi",10,2024-04-15 21:50:24
16,"concours, lise, violoncelle, violon, orchestre",3,2024-04-15 21:50:24
17,"asperges, beurre, recette, huile, œufs",9,2024-04-15 21:50:24
18,"logements, quartier, projet, immobilier, bureaux",12,2024-04-15 21:50:24
19,"rwanda, rwandais, soudan, conflit, humanitaire",8,2024-04-15 21:50:24
20,"écouteurs, oreille, données, oreille interne, cancer",9,2024-04-15 21:50:24
21,"cocaïne, police, drogue, reconnaissance faciale, faciale",10,2024-04-15 21:50:24
22,"eurovision, concours eurovision, party over, voice belgique, before the",1,2024-04-15 21:50:24
23,"école, élèves, bateliers, enseignement, enseignants",5,2024-04-15 21:50:24
24,"rallye, neuville, hyundai, wrc, championnat",16,2024-04-15 21:50:24
25,"madrid, real madrid, champions, ligue champions, ligue",11,2024-04-15 21:50:24
26,"sorcellerie, autonomie, intelligence artificielle, artificielle, intelligence",6,2024-04-15 21:50:24
27,"frelon, oiseaux, nid, baleines, asiatique",6,2024-04-15 21:50:24
28,"bruges, club, brugeois, match, club bruges",12,2024-04-15 21:50:24
29,"trou noir, étoile, noir, orbite, mission",7,2024-04-15 21:50:24
30,"fleurs, jardin, jardins, plantes, muguet",6,2024-04-15 21:50:24
31,"apple, samsung, windows, applications, application",6,2024-04-15 21:50:24
32,"canaries, îles, tourisme, îles canaries, contre tourisme",2,2024-04-15 21:50:24
33,"alain chamfort, alain, guéri, cancer os, religion",2,2024-04-15 21:50:24
34,"riemer, brian riemer, match, mauves, thorgan",7,2024-04-15 21:50:24
35,"musique, florian noack, pianos, piano, tchaïkovski",4,2024-04-15 21:50:24
36,"aéroport, avion, aérien, dubaï, airport",5,2024-04-15 21:50:24
37,"incendie, copenhague, pompiers, bâtiment, secours",6,2024-04-15 21:50:24
38,"trump, donald trump, donald, procès, président",7,2024-04-15 21:50:24
